Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,Target,Long_Overdue
1,0,0,0,0,0,10400,10135,55,2,1,1
1,9,572,0,3,3,3300,1887,55,1,1,1
3,0,0,0,0,0,100,5051,55,1,1,1
1,0,0,0,0,0,0,44163,55,2,0,0
0,0,0,0,0,0,0,24007,55,2,0,0
1,0,0,0,0,0,0,35884,55,2,0,0
0,0,0,0,0,0,0,20694,55,2,0,0
1,0,0,0,0,0,12350,15411,55,1,0,0
2,0,0,0,0,0,50390,19252,55,2,1,1
0,0,0,0,3,3,46400,14339,55,2,1,1
2,0,0,0,0,0,6560,28309,55,1,1,1
0,13,198,0,3,3,4090,6392,55,1,1,1
1,2,15,0,0,0,26490,16798,55,2,0,0
0,0,0,0,0,0,15700,7644,55,1,2,1
2,0,0,0,1,1,12300,12853,55,1,1,1
1,0,0,0,0,0,0,18203,55,2,0,0
3,0,0,0,0,0,0,18723,55,2,0,0
3,0,0,0,0,0,0,18671,55,2,2,1
0,7,167,0,0,0,9800,10829,55,2,1,1
1,0,0,0,0,0,0,19410,55,1,3,1
3,0,0,0,0,0,0,31738,55,1,1,1
0,7,134,0,0,0,0,3423,56,1,1,1
0,0,0,0,0,0,3350,10967,56,2,1,1
0,0,0,0,0,0,2050,14353,56,2,1,1
0,0,0,0,0,0,0,16104,56,2,1,1
0,0,0,0,0,0,22800,9593,56,1,1,1
0,0,0,0,0,0,21400,10708,56,1,1,1
1,0,0,0,0,0,25980,8735,56,2,1,1
2,0,0,0,0,0,2680,12709,56,2,1,1
1,1,33,0,1,1,3310,8576,56,2,1,1
2,0,0,0,0,0,8110,21267,56,2,0,0
3,0,0,0,1,1,39810,28955,56,1,1,1
0,3,36,0,2,2,15200,13578,56,1,1,1
0,0,0,0,1,0,200,8486,56,1,0,0
1,0,0,0,0,0,0,20662,56,1,3,1
3,0,0,0,1,0,1000,25755,56,1,1,1
1,0,0,0,0,0,2500,12098,56,1,1,1
1,0,0,0,0,0,4600,11426,56,1,1,1
2,11,256,0,1,1,500,28854,56,2,1,1
0,0,0,0,0,0,0,20729,56,2,2,1
0,10,89,0,1,0,32000,3148,56,1,1,1
0,0,0,0,0,0,100,18144,56,2,1,1
0,0,0,0,0,0,0,18954,56,1,1,1
0,0,0,0,0,0,0,18792,56,1,0,0
0,2,25,0,0,0,8400,14431,56,2,0,0
1,4,49,0,0,0,5620,11911,56,2,1,1
1,1,7,0,1,1,150,42150,56,1,0,0
0,3,36,0,0,0,0,50571,56,1,0,0
1,0,0,0,0,0,8620,8371,57,1,0,0
0,6,348,0,1,1,200,695,57,1,1,1
1,6,83,0,2,2,9490,9137,57,1,1,1
1,13,205,0,2,2,4730,5703,57,1,1,1
2,0,0,0,0,0,30400,10613,57,1,1,1
1,2,40,0,5,5,44430,17512,57,1,1,1
2,3,211,0,1,1,820,1890,57,2,1,1
0,0,0,0,0,0,28200,8952,57,2,1,1
1,14,441,44,1,1,5590,1165,57,1,1,1
1,0,0,0,0,0,25400,21289,57,1,1,1
2,0,0,0,0,0,40260,10504,57,1,1,1
0,2,28,0,3,3,23400,6108,57,1,1,1
0,0,0,0,1,1,1700,28333,57,1,0,0
1,0,0,0,0,0,1000,30065,57,1,0,0
2,0,0,0,0,0,2020,22852,57,2,2,1
0,8,894,0,0,0,0,0,57,2,1,1
2,1,40,0,2,2,1950,14199,57,2,1,1
1,2,134,0,2,2,8500,9170,57,2,1,1
